2022 Asian Games,Finals,671,1,34.2,33,25,2.6,5.2,Other(Acrobatic),Freeze,38,F,China,Ami,W
2023 Pan American Games,Finals,Sunny,1,28,48,12,8,4,Toprock,Footwork,25,f,USA,Luma,W
Olympic Quailfer Series,Round Robin,Lee,1,50,10,0,7.5,32.5,Toprock,Footwork,40,M,Netherlands        ,Lagaet,W
Olympic Quailfer Series,3rd Place Match,Hongten,1,32.5,30,13.5,5,19,Toprock,Freeze,37,M,South Korea,Hongten,W
Olympic Quailfer Series,Round Robin,Lithe-ing,1,28.5,24,4.7,0,42.8,Toprock,Freeze,35,M,China,Lithe-ing,W
BFG World Series,Top 8,Amir,1,21.4,57.3,7.1,14.2,0,Toprock,Footwork,28,M,Kazakhstan,Menno,W
Olympic Quailfer Series,Finals,Kuzya,1,26.5,24.4,30.8,14.3,4,Toprock,Freeze,49,M,Ukraine,Qukae,W
Olympic Quailfer Series,Round Robin,Ami,1,13.8,63.9,8.3,5.7,8.3,Toprock,Freeze,36,F,Japan,Ayumi,W
WDSF WORLD BREAKING CHAMPIONSHIPS 2023,Top 16,Logistx,1,52,22,26,0,0,Toprock,Powermove,25,F,USA,yingzi,W
WDSF WORLD BREAKING CHAMPIONSHIPS 2023 ,Top 8,Kate,1,40,50.3,6.7,3,0,Toprock,Footwork,30,F,Ukraine,Anti,W
Competiton,Bracket,Dancer,Round,%toprock,%footwork,%Powermoves,%Freezes,%Other,Started With,Ended With,Duration(sec),Gender,Country,Opponent,W/L
,,,,AVG(E2:E34),,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,29.51173077,40.34826923,16.36019231,6.583846154,35.21153846,,,,,,,
,,,Loses,28.02727273,41.47909091,14.83636364,6.448484848,7.015151515,,37.27777778,,,,,
,,,Wins,31.48388889,38.12777778,19.34055556,7.142222222,4.061111111,,34.24242424,,,,,
